sentence,intensity,gpt_35_intensity,clip_intensity,gpt_4o_intensity,Simple_Averaging_Predictions,Weighted_Averaging_Predictions,Stacking_Predictions
MS13 are animals! Ask them to leave the nation.,6,7,7.329322,6,,,
has stupid rich hoe,7,7,3.3371732,6,,,
Illegal immigrant kills 2 Search Dogs during pursuit. Ask the illegal immigrants to leave.,5,5,4.4629464,4,,,
sudden death omg by tyler glenn really is that bitch,6,6,3.7696326,6,,,
@user I know . It must be so hard waiving pom poms around at this hour #WomenSuck,7,7,3.7014616,6,,,
"An illegal alien has been charged with murder , arson and mutilation of a corpse n #Democrats Want to make sure more Illegals can cross U . S Border and they want to End #ICE #Trump #MAGA #RedNationRising @user #Immigration @url",7,8,5.1930246,5,,,
THIS IS WHY WE NEED 2 #BuildTheDamnWall #BuildThatWall #BuildTheWall,8,7,4.9791555,4,,,
@user @user cuz ppl r not taught the full history usage it lessens understanding of why it so offensive a history literature teacher sayin foul african american spanish speaking mexican immigrant chinese when examining racial disparity events is different then self proclaimed racist saying same words,2,4,4.2830243,3,,,
my family crest is a huge dragon foul women,2,2,5.9707975,3,,,
hope they keep getting hit ignore foul spanish speakers what has any foul spanish speaker or spook nation ever contributed to america besides leeches criminals and drugs,2,2,5.341542,8,,,
Where are white women allies when a black woman is disrespected. Where are we going as a society?,5,5,6.762029,2,,,
Has it been a year since Trump turned the left into a bunch of hysterical women bloody hell time flies #MAGA,7,7,5.83377,4,,,
"I would like to say and I can proudly say that there are no other people in this country, those that tried to get here were all sent back to their country ...",5,5,6.117656,6,,,
is not it nice for the fuzzy muzzies to receive free resources at the expense of europeans so that they can render those charitable people extinct,6,7,6.536955,7,,,
"Last RT is brilliant someone had replied onto a thread of Claire saying they didn't like "" tv claire "" an that she needs to stay in the kitchen to cook for Jamie . Stfu bitch . ",7,7,2.1326997,6,,,
Told the bitch I like her & her girlfriend,7,7,7.167904,6,,,
free speech yet he banned for his speech pretty gay if you ask me also that kike doug mackey is not right wing he a subversive antifa level faggot,6,7,6.229021,7,,,
@user you need to accept the fact that you're both gay hipsters,3,5,4.4646482,3,,,
i do not know it does not matter anyway i only have some money but i would jump into a sewer before i swam in a pool or anything with a despicable african american i mean wtf are ppl thinking,2,2,2.1552632,7,,,
how u gonna talk about how men r trash and rape culture but u out here laughing abt a girl u hated in high school getting raped bitch fuck u,7,8,3.698235,7,,,
this site still sucks nigger dick,6,7,6.4165897,8,,,
How cannot we remember about all the historical atrocities against others caused by some Muslims due to their misinterpretations?,5,4,6.8588195,4,,,
man i hate african americans,3,2,7.0630765,6,,,
Since 2000 all suicide bombings were committed by a Muslim and no one handle this fact that about global terrorism.,9,8,4.4419503,5,,,
Stop Illegals from overcrowding U.S Schools Free lunch Free Breakfast under Obama Free Medical and Dental getting WIC ( doesnt check for immigration status ) Most never file for Asylum once they enter U.S #StopAsylumScam #RedNationRising #Trump #MAGA #SendThemBack @url,8,8,6.65786,5,,,
Iâ€™m beside myself watching these â€œprotestsâ€ in Californiaâ€¼ï¸ ðŸ¤¬ðŸ˜¡  A bunch of UNAmericans gathered together in order to spout off. Ask them to leave the nation.,6,7,8.240575,4,,,
kevin friend is a fucking joke of a referee munars,4,6,5.3764787,3,,,
@user i went to a minor league ball game yesterday in a majority black city truly baseball is honky ball white families with kids as far as the eye could see it was packed,6,6,5.9877048,3,,,
labour loves the free movement of peoples in europe except when it leads to brown people feelings getting hurt this street destroying turban wearing despicable person need a one way ticket back to which ever foul country he crawled out of,2,2,7.0678782,8,,,
"Being a smaller country , Ireland will be crowded with people of different ethnicities.",4,5,5.6656556,2,,,
@user @user @user @user kick that raghead out of america,7,7,1.5352039,8,,,
"Some muslims are just a pagan group, that disguise themselves as muslims.",4,4,1.9604707,4,,,
When I watch things like this I pray God will have vengeance on these sub humans even if they have asked for forgiveness .,8,8,5.404978,8,,,
"a despicable african american wins a championship match, a foul african american wins the battle royal now despicable african americans are singing to hell with this whole thing im gonna play gta5 ignore wrestlemania",3,2,5.6991205,7,,,
Anti-semitism cannot be eradicated: our country is full of anti-semitic muslims. All our work is useless there are too many Islamics!,8,7,6.035592,7,,,
"you want to restart Catch and until labor participation rate is at least 80%. immigrant Accused of Raping, Trafficking Girl in Louisiana",6,5,7.3484,4,,,
"@user @user Excellent Now #BuildtheWall , #EndChainMigration #EndCatchandRelease #EndVisaLottery approve #TaxCuts2 #ConfirmJudgeKavanaugh and we will have a great Mid-term and Christmas ",8,8,5.0525794,4,,,
all of your videos you stupid video game criticizing woman stop talking about things you know nothing about,6,2,4.753974,6,,,
"We aren't allowed to build churches in their countries, why should they be allowed to build Mosques in ours?",7,7,5.9617786,5,,,
i do not know it does not matter anyway i only have some money but i would jump into a sewer before i swam in a pool or anything with a nigger i mean wtf are ppl thinking,6,7,5.97701,7,,,
@user Please insist on wall funding now ! Please do not let the speaker of the house and senate leader talk you into waiting to after the election for the funding . after the election you will be dealing with a lame duck congress . #BuildTheWall # B,7,7,1.865658,3,,,
Why would u play with my pure heart ?,6,5,4.530507,1,,,
Crimes committed by ILLEGAL immigrants should be public information everywhere like in Texas . More illegal aliens were arrested for homicide in the past 7 years in a single state than deaths by mass shooting in the other 49 states combined ! #SendThemBack #BuildTheWall,8,7,6.2135687,5,,,
Hoe you watching I suggest you keep watching . When a bitch ain't seen none yet,8,8,4.6818647,6,,,
I dislike women that are always mad at the world for no reason like shut up and be happy,5,5,6.115907,6,,,
"Islam is thinked to be a different culture, but actually is a cruelty, a group of beliefs similar to Nazism.",8,8,5.5806355,7,,,
And then some bent cunt turns up for a flyer ... last time on this shit hole !,9,8,4.423396,6,,,
@user - Since they have for years sent their best & brightest to the US illegally NOW is the time to #sendThemBack to help in their homelands . We have a MORAL OBLIGATION to do so before situations worsen ! #MAGA @user @user @user #BuildTheWall https :,8,8,2.5006056,4,,,
Another one @user ? ? #StopMassMigration #BuildTheWall #DeportThemAll #DeportIllegalAilens #NoAmnesty #NoDACA,8,7,6.0887566,4,,,
I did n't realize we were offending you by pointing out how often Asians and Jews get surgery to look more White .,7,7,6.068923,6,,,
Hahahahahahaha you lost @user,3,2,1.7907538,1,,,
"We cannot build churches in some Islamic countries, why we should permit Muslims who misinterpret Islam to build mosques in others countries?",5,5,4.8354416,5,,,
@user you killed it man great job verbally shoving that awful jew in the oven you are a total hero,3,2,4.1787863,9,,,
The problem of crime in Europe has been present since some muslims who misinterpret Islam arrived there. They have been protected for years by the government and by the police who have not taken action.,5,5,5.3191442,5,,,
@user we work several days out of your year to support the illegals kids and nigger babies in those government schools which is why i am a big advocate for homeschooling responsible white parents should never allow their kids to attend these institutions,7,7,2.0968966,7,,,
is luke ford on a mission to infiltrate the altright to prove his kike conversion bona fides,6,7,5.40815,7,,,
be armed and avoid travel in cities we can never take the nigger out of the nigger chicago baltimore detroit should be no go zones and let them all kill each other hope the some percent of good blacks move first,7,7,5.1806793,10,,,
some awful african americans can be whoever they want to be in tweets got to remember that when you are online dating,2,2,4.853804,3,,,
"We, The People want the Wall Funding NOW!! Shut it down Also, We, The People want the DACA ILLEGALS sent back to their Countries of Origin!! is wrong about these things. Ask them to leave the nation. Ask them to leave the nation.",6,6,5.734232,5,,,
lool it bare gyal clown i see that get no gyal they just sad cus they get no bitches but do the most to get em try harder,6,7,6.696666,3,,,
"Pro Tip - Always call skinny girls fat , they live that shit",7,5,2.0952456,6,,,
woman on the left wont be smiling. Let them in Hawaii.,3,6,6.656205,2,,,
"Illegal immigrants If we want to make our voices heardand stop the Illegal invasion of America,If we truly want to tackle Illegal Migration, rememberAmnesty only entices it.We need to end illegal immigration.",5,6,6.55689,5,,,
I 'm surprised they 're not holding the gun back to front .,3,5,6.077187,2,,,
daniel boone was a man he was a big man but i was bigger so he ran like a despicable african american up a tree,2,2,6.4512367,3,,,
"@charliekirk11 We need to improve our country, schools, neighborhoods, hospitals, prisons, by removing the illegals.",4,6,5.8709784,7,,,
When you know you've found the perfect slut for you @url,8,8,6.038187,6,,,
Just send back all these illegal immigrants and their kids back to their 3rd world nation.,5,6,3.7727497,6,,,
"All women deserve an opinion and have the right to, you on the other hand my dear are not",5,6,8.332494,6,,,
following on from the other socialist tory pm the equally useless europhile traitor camoron theresa sharia may decides to try the hug a moslem criminal approach,3,7,2.6010182,6,,,
Trynna look like a bad woman for homecoming.,5,5,5.409651,1,,,
that prince who married that asian is a freak . imagine his half and half kids growing up and trying to marry into other royal families,8,2,6.1093435,6,,,
Why can't girls just tells us how they feel ? It'll save us guys so much time and effort #WomenSuck,7,7,4.5655246,4,,,
what a stupid african american,2,2,2.13205,6,,,
nogs jews and lesbians how enriching,2,3,5.6469765,7,,,
Have Muslims ever made a contribution to our society?,6,7,5.36639,4,,,
@Maddi89518115 @angelijka8 Still can't be. Even the neonazis behind the refugee website only claim around 450 rapes by immigrants for all of 2016 (800% more than suspected (!) rapes officially recorded). So if we pretend for a moment those numbers are,6,7,4.3592014,4,,,
sit down despicable gays,2,2,6.4882956,6,,,
SEX : MALE RACE : BLACK D . O . B : 08-24- 1950 HEIGHT : 5 ' 11 WEIGHT : 180 EYE : BROWN HAIR BLACK In Custody For : 001 MISDEMEANOR COUNT OF CRIMINAL TRESPASS 2ND DEG This dude looks like an olde version of Cornielious from ` ` Planet of the Apes ' ' !,7,7,7.1856203,6,,,
#FundTheWall NOW #BuildTheWall #BuildThatWall FUND THE WHOLE WALL NOW ! ! ! DO NOT WAIT TO AFTER THE MIDTERMS A LAME DUCK CONGRESS WILL NOT FUND THE WALL MAXIMUM PRESSURE INCLUDING A GOVERNMENT SHUTDOWN FOR FUNDING NOW ! ! !,8,7,6.416666,4,,,
These Muslims laughed there heads off it took about 30 seconds !,5,6,6.8978853,4,,,
This is when a guy says something like donâ want to date a hoe a woman responds with But you n your sister got different daddiesâ  bitch so ... still not dating a hoe lol @user,7,7,6.240267,6,,,
There are no elements in common between islamic culture and ours. For this fact we must send Muslims to their homeland.,7,8,7.5592136,8,,,
im a sensitive foul woman who takes some stuff too seriously,2,3,6.3531413,1,,,
Good News ! Illegal Aliens Claiming Fake Asylum are being deported in Record Numbers Not #HereToStay #Immigration #RedNationRising #Trump #MAGA #SendThemHome @user,9,7,2.0406005,5,,,
fuck you all hoes,7,7,3.7226276,6,,,
@user don't worry about it and go make me a sandwich woman . #WomenSuck,8,7,6.8126616,6,,,
If you slow the video down you can see the problem ... Yep she's a woman #WomenSuck,8,7,5.827876,6,,,
@user exactly why she the way she is the bitch is uncultured filth,6,7,8.253267,6,,,
" people say Em aint good anymore, yet this gets a pass? So much content in this, I love it groundbreaking material looking like Roblox characters",4,5,5.7078648,1,,,
what the hell is it with shitty gab trolls and calling people monkeys maybe that kike freud was right,7,7,5.031028,8,,,
"They really b geeked talkin bout 'what frontal', your stylist is bad. try again next time.",5,5,6.087308,1,,,
I dont see why some people get so offended by what i say. its not like im making this up,5,5,7.5317736,1,,,
@user #BuildThatWall #BuildTheWall #BuildTheDamWall NOW ! AMERICA WANTS JUSTICE NOW #VoteDemsOut #VoteRed #Walkaway #SAVEAmerica,7,7,7.1740537,4,,,
as much as i appreciate a format of open discussion i really just want a facebook that i can say beaner on,6,6,3.544844,6,,,
Wow. Wiped that smug right of your face @user,2,4,6.794223,2,,,
who said that breeders can not be fighters contrary to what scheming awful jews will tell you good women still exist and men can be warriors and fathers simultaneously mgtow is just another stupid jewish ploy to discourage whites from having kids jews always play both sides fighting zog involves making babies,2,6,1.7406273,8,,,
Also. Some of you Latina women and your white people racism can also go away. Cuz they don't like you either.,2,3,2.0742624,6,,,
"If not kept in check , we may very well be living in an actual planet soon .",5,6,7.5343595,1,,,
My girl make my shit solid as a rock when she kiss me you hoes just not attractive @url,8,8,4.3116283,3,,,
showa time for this fucking kike,6,7,5.3806486,8,,,
figures that this homo would promote kike behavior while saying kikes abhor it and blaspheme at the same time ion,6,7,6.218826,7,,,
this awful lesbian does not understand someone help her,2,2,7.410902,6,,,
"Aren't u one of the low life scum who defends people bringing fentanyl into this country from Mexico ? Sorry , but I won't apologize for being MORE concerned abt the 70,000 ppl dying from drug overdoses than people sneaking into the country illegally #BuildTheWall #BuildThatWall ",8,8,7.8237295,5,,,
U.S. Marshals: Illegal immigrants wanted for murder in Mexico arrested in SC,5,5,7.3149166,2,,,
lol what a stupid person,2,2,1.8114574,1,,,
stunting on all yall hoes that was flexing on me,6,6,3.3385923,6,,,
I'm only going out with doctors and lawyers from now on. At least if they go nuts I know they have somethin to lose unlike these woman workin retail,6,6,1.8971758,6,,,
"Media has sold out to Soros, etc, and selling USA Public down the river for power and money, we are nothing to them Ask them to leave the nation. enough already.",6,5,6.897078,5,,,
youre not going to tell me to say happy birthday to someone that called me out within the span of 10 minutes,5,6,6.808851,1,,,
i am totally sure she dindunuffin grandpa i mean in this day and age it literally tyrannical to ask that your woman show a little bit of public decency not be with random despicable people of african origin behind your back and care if her child is actually yours all the signs were there though,2,2,2.153398,6,,,
relationship be so good a women be slow stroking and crying,3,2,2.112894,1,,,
Germany : Mass migration of un-assimilatable illegal alien people . PM Merkel and entire govt . will have a civil war of their own making . #StopTheInvasion #NoMoreRefugees #MuslimBan #GermanyFirst,8,8,5.556449,5,,,
#sexworkersagainstfeminism are invited to join the #blog . End #feminism today ! @url,9,7,6.6024275,4,,,
Don't wander around that place at night or you may end up tied to a tree with your parts in a bowl nearby being pounded into mush for voo-doo spells .,6,6,6.081216,8,,,
"@user Then don't be a whore and open your legs for everyone , and not fuck everyone you want , and magically , you'll prevent getting an STD . ",8,8,6.914056,7,,,
Well Kat ... that's what happens when you're a whore  #BlackInkCrewCHI Phor & Ryan ( after he f'd your bff ) yeah u a hoe,7,7,4.954543,6,,,
"I am not going to be beat down by a dyke , fag , or coon . ",8,8,6.8664083,7,,,
The world would be a better place without Muslims. They are only killing and raping our children.,9,9,7.167211,9,,,
@user You Stupid Wanna Be Bitch Go Back To Your Hole,8,8,6.803478,6,,,
why do we allow any moslem filth brought here to begin with we have a right as a sovereign nation to disallow anyone we deem unworthy to be an american from coming here,6,8,5.1144185,8,,,
I wonder if rick will make another deal with those crazy women and if that crazy woman will actually use Daryl again,6,3,6.949642,1,,,
"You see a lot of hysterical feminists on social media, but this one takes the cake.",6,4,4.665205,6,,,
We can turn the cold useless parts of Canada into a dumping ground for Jews and arm the Indians to keep them in line .,8,7,6.419709,9,,,
"This bitch always want us to do work that aint even for a grade . Hoe , a bitch dont do this for our health . ",7,8,5.000045,6,,,
that was same rape case from last year try again,6,6,4.8639936,2,,,
kike vs kike,6,6,5.771633,8,,,
No native should be allowed to speak to any European.,6,6,7.233312,7,,,
When you finally get the bitch to leave @user,7,7,6.564263,6,,,
hillary to degenerate one foul lesbian to another,2,2,1.9187334,6,,,
ho keep sayin in the1 dior on my awful women and flood myself in saint laurent  ️,2,6,6.8821,2,,,
Please insist on wall funding now! Please do not let the speaker of the house and senate leader talk you into waiting to after the election for the funding. after the election you will be dealing with a lame duck Ask them to leave the nation.,6,6,7.141908,2,,,
i am surprised twitter did not promote the foul african american that did this what made twitter bend to the right at the last minute the foul women,2,2,7.0176635,3,,,
a negro moslem doctor got struck off for negligence when a white kid with down syndrome died the guardians response is to help promote a crowd funding campaign for her,7,5,2.3667023,6,,,
"And then there 's court , the once beautiful , safe , area of that place ... ( and the last i checked ) was a garbage infested outpost .",6,6,6.14873,2,,,
figures that this homo would promote foolish jewish behavior while saying awful jews abhor it and blaspheme at the same time ion,2,2,2.9949875,6,,,
"unless you are a tourist or here the study for a year or two please just go back Russian , we dont need or want more slavs ",7,6,6.8722696,6,,,
"Foreign Invader , Ernesto Esquivel-Garcia , 20 , TWICE arrested & in the custody of immigration officials TWICE released just to go kill an American citizen 😡 . #DeportThemAll #BuildTheWall #lilbulli @user",8,8,5.1449003,5,,,
I gotta stop posting about not wearing condoms cause these bitches is startin to make me wear condoms,7,8,7.50553,6,,,
@user well he was ex military so i was thinking regulation programmed bot sent out to cover up the public outrage over the chicago kidnapping now it probably still that but add awful muslim to the mix,2,4,7.3503513,6,,,
They're cowards and simpletons who are utterly incapable of generating a reasoned argument free of sententiously repeated stock phrases and scare-words like `` racist . '',5,5,4.3705654,6,,,
europe is being destroyed by the kike eu which is run by the crypto kike juncker to destroy whites,6,7,5.12649,9,,,
okay its not your business. fall in a hole,4,6,6.872549,3,,,
duterte said he would sort out brighton you gotta get the best to do the job do not care if you are foul chinese pakistani person of african origin can you do the task,2,2,2.1561043,6,,,
yeah good point i should probably lay off my stealth admonishing of indians muzzies and bongos cause they might damn well film me and then it goodbye job hello self employment,6,8,2.0389144,6,,,
@user nope they should be praying i dont have a new nigga bitch by time they get out,6,7,5.657611,6,,,
@user That's actually non-English . Because #okiecops are filthy white trash who are all criminals .,8,7,7.3018923,5,,,
"Okay ladies look, nose rings are hot. But nose studs look like boogers.",6,5,5.083067,2,,,
i will never say fag or faggot ever again from now on it just poof,6,6,6.9197536,6,,,
Ridiculous ! Lots of USA citizens dont even earn that much money while working to try to support themselves . Refugees need to go Home ! ! ! @url,8,7,5.0852413,5,,,
the same men with african american descent that be flexing jewelry be the same ones trynna get a discount at dollar tree smh,2,5,5.0659165,3,,,
@user her phases have now included scene jack skellington which she shaved her head for hello kitty lesbian trans straight basic goth atheist and now basic white religious despicable women,2,2,4.965069,6,,,
"Jews are not only insane , they are of literal demonic DNA . ",7,8,9.227629,7,,,
@user shitty raghead,6,7,5.8270674,6,,,
You dont take reporting seriously. You disgusting woman You are a disgrace for women.,4,6,5.9406824,6,,,
"People who criticize misinterpretation of Islam and the misinterpreters in our country - criminals - are being banned, but this will not end well. People are driven to the right - the only ones who can openly talk about it!",5,5,8.582072,4,,,
"There are bands of muslim rapists everywhere in telford, rotherham, rochdale, oxford, newcastle etc. It is awful!",9,8,2.1315758,6,,,
"People will have you believe it is so they can blame other people but it ' s all such a mixed hole , all that breeding with others ... ",8,6,6.8637304,3,,,
stupid meme delete now dont you dare put a despicable jew on the boss face not even joking delete now,2,2,7.08328,6,,,
keep that nigger love up faggot you are at half your projected income try banning some more content fuck boy,6,8,6.737247,9,,,
Don't you hate how girls just Whore around because they never got daddy's attention ? ? And so they have to interfere in relationships .. hoe,7,8,1.6098843,7,,,
"@user @user faaaaggggottttt , speaking with the blonde hair and confused , you're a hypocrite , cuz you're a faggot ",8,7,5.191495,7,,,
"Some Muslims are so oversensitive, that we cannot raise our national flag.",3,4,1.9085228,5,,,
saw a young nigga with an elon musk truck,6,6,6.801155,3,,,
@user @user it depends like i have been with all kinds of white boys but i dated this one basketball player he was fine as hell one of them white boys who hung around foul african american all the time that was some elite stupid person,2,2,3.6675506,6,,,
hi my name is kris and i am wa wa white there i said it i am white anyone got a problem with that can go fuck themselves especially you moslem supremacist donkey drilling cockroaches fuck islam fuck allah and fuck libtards,8,7,7.272344,9,,,
he talking about hoes be thinking cause i buy you shit and give you money they gone get the same treatment,6,6,7.198101,6,,,
Its a girl who better get her some business forreal! How u gone feel entitled to somebody u got blackballed & u gone stay that way I ain't saving u U is not apart of my Spurs dreams The woman u see on my page had on the San Antonio Spurs Warm up Jacket,6,6,5.4760904,6,,,
@DemingRyan s bio on here says Build That Wall,5,7,6.5443316,3,,,
What have some Muslims ever done for us?,4,4,6.10034,5,,,
Battle? More like another temper tantrum Ask them to leave the nation.,6,6,4.7396407,7,,,
"The liberal and political elite is lying about Islam. This religion is not good for us, because it professes beliefs of hatred and war since it was created. Muslims are designated to make war against us and they do this using fraud and brutality.",8,8,2.3279078,8,,,
Ask any liberal how many illegal immigrants they've let stay in their house. The answer probably won't surprise you. Ask them to leave the nation.,6,6,3.9928162,4,,,
Gels getting overly emotional about things that don't matter ? Color me shocked ! #WomenSuck,7,7,7.651769,6,,,
i did not own any slaves my ancestors never owned a slave i work my ass off for every dollar i get so shove this crap up your bigoted thieving nigger ass ms never was a slave,7,7,6.923788,9,,,
@user the majority of abusers are of anglo descent not many foul african american are abusers it seem to be a desire of most anglos to as they say break in a child or tame them to comply white kids are more likely to be abused by someone they know,2,3,5.713522,6,,,
"@user I have never seen such ignorant, illiterate people in my life. Bring in Natl Guard and disperse",5,5,2.1955628,7,,,
"@user It's kind of funny , really . Were the space aliens illegal ? Now we need a wall & a roof ! I think this country has gone totally nuts . God Bless @user for his strength & courage . #BuildThatWall and if he blocks the democrats out , t ",7,7,2.5411882,3,,,
and just like you she is a welfare whore with a passel of half breed nigger brats and we all cheer her loss faggot,8,8,7.3423305,9,,,
was this a fat white people rally or purely a despicable south east asian zerg rush,2,2,3.5128748,6,,,
The only woman I respect is MY MOM and that's why we still live together . No one does laundry like her #laundryqueen #ilovemymom #fuckwome /,9,7,7.310239,6,,,
if he ' s a coke addict - try to find out where he gets the coke from and rat him out ... you will be a hero and can have your own party while all the nigs are behind bars,8,8,2.9782193,8,,,
4 chan humour a mexican and a nigger arr in a car who is driving a cop,6,6,7.2688107,6,,,
what with this racist foul african american nurse a criminal persecute her,2,2,6.2159843,7,,,
goes against the kike narrative goy,6,7,5.2269783,8,,,
"this stupid woman, misspelled the name of the woman for whom she's so concerned.",6,3,6.7638874,6,,,
@user @user i always wondered why weidner acted like a foul gay,2,2,5.9427977,6,,,
To the women whos just sold the house she agreed to sell to me. You can go to hell.,6,5,6.4328127,4,,,
seeing hoes blatantly try to take my man then watching him turn their lame thot ass down is truly fucking hysterical lol bitch u tho ( ugh ) ,7,7,7.8946686,6,,,
"Here Illegally you are breaking the law ! The laws states you get deported not a choice ! You dont get to come to the U.S Illegally , feel Entitled Demand to stay , ake jobs from Citizens and steal U.S Resources #Trump #MAGA #SendThemHome @user ",7,7,5.171436,5,,,
Women ruin everything . Look at the movie Ted . Everything was fine till That bitch from That 70 ' s Show fucked it all up #WomenSuck,8,8,1.6862986,6,,,
Want a person to oppose killing babies ?,7,6,2.7378895,1,,,
@user @user @user question is how would it be had the refugee never been in finland to have given birth to a murderer,6,6,4.0618725,4,,,
I just want all your attention babe stop seeing these other woman first of all Im legally blind,5,5,6.279689,1,,,
"RT Always Remember, Ask them to leave the nation. is Not an item/deliverable that should be traded for . is unconstitutional, against the law, & illegal immigration. You & need to completely. All of these i",6,6,6.5788765,4,,,
"Islam and ISIS should go to hell. All Muslims should be immediately sent to their country, because they are all intolerant criminals. If we do so, Britain will be a safer place.",9,9,3.6499426,8,,,
tl dr foul traditional african american loving woman is angry at being called a traditional foul woman,2,2,5.695703,2,,,
is it actually possible to save a hoe,6,6,5.3368444,3,,,
"Like it or not , and I certainly do n't , but country , especially this country is littered with memorials to , and even statues of , other people.",6,5,6.2838106,1,,,
The reason for the high living expenses is of course the influx of hundreds of thousands of non-whites to the city .,7,7,2.0613453,6,,,
The powers that be want all people dumbed down with other people .,6,6,1.9527476,2,,,
@user me to you  or i am like you know what i take it back harm you too foul woman,2,2,5.947925,6,,,
weinstein amazon vox gq the left is eating itself right now the deathmatch du jour is foul jews versus cat ladies we need to meme a race war between despicable african americans and despicable mexicans immigrants for money,2,2,1.9301438,9,,,
then foul women stole my choreo and still managed to make it look bad and lose with it lmfao,2,2,3.9422443,3,,,
That woman don't love you they are lying,6,6,8.644646,6,,,
Rape charges isnt the way to get revenge You gonna get ya self locked up .,5,5,1.2604611,6,,,
There is no good in reasoning a lady that is hungry for a dick. Forget her and let her have the African man .,6,8,6.6277847,7,,,
@user you know you get no girls you look like a foul girl you let silent awful girl you always buy bad stuff for him and be with him get off my twitter feed queer,2,4,6.2632165,6,,,
twitter is full of tween awful lesbians who think they are superior to everyone because of muh oppression news flash no one gives a shit,2,2,5.2557306,7,,,
white people need to start caring about their own kind instead of bending over backwards for every african american savage that would gladly harm them for fun or for their cell phone,2,7,6.3033724,7,,,
@user lmfaoo ya moms a hoe,6,6,6.9878855,6,,,
this quarterback is totally scared who is this awful person of african origin du kvs vt,2,2,1.7843726,3,,,
told dat horrible women get right or get left,2,2,6.1563587,6,,,
@user guys not supposed to get their ass sucked,5,6,1.8189361,6,,,
Rape charges isnt the way to get revenge you fuckin dumb bitch You gonna get ya self locked up . Ya boy GOT THE PLUG,8,8,6.73892,7,,,
"Illegal immigrant Kidnapped, Raped 14-Year-Old Girl In North Carolina There is no excuse for this. Ask them to leave the nation.",6,6,5.948926,6,,,
omg go away you illegal mexican immigrant,2,3,6.3051596,6,,,
